Position	CD15	CD4	NAKATPASE	ASMA	CD8	FOXP3	CD31	PDL1	CD27	CD3	CD56	CD206	GZB	HLAI	CASP3	CD163	CD16	CD45	CD20	LAG3	CD11C	S6	PANCK	HLAII	KI67	CD68	KAPPA	CD14	CD38	PD1	MPO	B2MG	TRYPTASE	LAMBDA	GP100	ANNEXINV	ISOTYPERB	ISOTYPEMU
region_001	Good	Poor	Good	Fair	Good	Fair	Good	Good	Fair	Fair	Fair	Fair	Good	Fair	Good	Fair	Fair	Good	Good	Fair	Good	Fair	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor
region_002	Good	Good	Excellent	Good	Fair	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Excellent	Good	Fair	Fair	Fair	Good	Fair	Excellent	Good	Good	Good	Fair	Good	Fair	Good	Good	Fair	Fair	Good	Poor	Fair	Good	Fair
region_003	Good	Good	Good	Fair	Poor	Poor	Poor	Poor	Fair	Excellent	Poor	Fair	Good	Fair	Fair	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Fair	Good	Fair	Fair	Fair	Fair	Fair	Fair	Good	Poor	Fair	Fair	Fair
region_004	Good	Fair	Excellent	Fair	Good	Fair	Fair	Fair	Fair	Good	Fair	Good	Fair	Excellent	Good	Fair	Good	Good	Fair	Fair	Good	Fair	Excellent	Good	Good	Good	Good	Fair	Fair	Good	Good	Excellent	Good	Good	Poor	Good	Good	Fair
region_005	Fair	Fair	Fair	Excellent	Good	Good	Fair	Fair	Fair	Good	Poor	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Fair	Fair	Fair	Good	Fair	Fair	Poor	Fair	Poor	Poor	Good	Fair
region_006	Good	Poor	Good	Fair	Poor	Good	Fair	Fair	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Excellent	Good	Fair	Fair	Good	Good	Fair	Good	Good	Fair	Fair	Good	Good	Fair	Good	Good	Fair
region_007	Good	Good	Excellent	Fair	Good	Good	Fair	Poor	Fair	Good	Fair	Fair	Good	Excellent	Good	Good	Excellent	Good	Good	Fair	Good	Fair	Excellent	Good	Good	Good	Fair	Fair	Fair	Fair	Good	Poor	Fair	Good	Fair	Fair	Good	Fair
region_008	Good	Fair	Fair	Good	Poor	Good	Good	Good	Good	Good	Fair	Fair	Good	Fair	Poor	Fair	Fair	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Fair	Fair	Good	Good	Fair	Good	Fair	Fair	Fair	Fair
region_009	Poor	Good	Good	Good	Poor	Fair	Poor	Good	Good	Good	Good	Poor	Fair	Good	Poor	Fair	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Excellent	Fair	Good	Fair	Good	Excellent	Fair	Fair	Good	Fair	Good	Poor	Fair
region_010	Good	Good	Good	Fair	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Poor	Poor	Good	Fair
region_011	Good	Fair	Good	Poor	Poor	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_012	Good	Fair	Good	Fair	Excellent	Good	Fair	Fair	Excellent	Excellent	Good	Good	Good	Good	Fair	Good	Excellent	Fair	Good	Fair	Good	Good	Good	Fair	Excellent	Good	Good	Good	Excellent	Good	Good	Good	Good	Fair	Fair	Fair	Good	Fair
region_013	Good	Good	Good	Fair	Good	Good	Fair	Fair	Fair	Good	Good	Fair	Fair	Good	Poor	Good	Excellent	Good	Good	Good	Good	Good	Good	Good	Excellent	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Fair
region_014	Fair	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Fair	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Fair	Fair	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair
region_015	Excellent	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Excellent	Good	Fair	Good	Good	Good	Good	Fair	Good	Fair	Fair	Good	Fair
region_016	Good	Good	Excellent	Fair	Fair	Fair	Good	Good	Fair	Good	Poor	Good	Fair	Excellent	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Fair	Good	Good	Fair
